Walmart,沃尔玛,美
Garrefour,家乐福,法
Pepsico,百事公司,美
Nestle,雀巢公司,瑞士
Procter & Gamble,宝洁公司,美
Unilever,联合力华,英/荷兰
L’OR?AL,欧莱雅化妆品集团公司,法
Dior,迪奥,法
Siemens,西门子,德
Phillips,飞利浦公司,美
Midea group,美的集团股份有限公司,中
Panasonic,松下,日
Sony,索尼,日
Mitsubishi,三菱商事株式会社,日
State grid,国家电网公司,中
Power China,中国电力建设集团公司,中
Taiwan semiconductor,台积电,中
Aviation industry Corp.of China,中国航空工业集团公司,中
Sinopec group,中国石油化工集团公司,中
China national petroleum,中国石油天然气公司,中
China state construction engineering,中国建筑工程总公司,中
Apple,苹果公司,美
Samsung electronics,三星电子,韩
Huawei investment & holding,华为投资控股有限公司,中
Alphabet,Alphabet公司,美
Microsoft,微软,美
Lenovo group,联想集团,中
Dell technologies,戴尔科技公司,美
Intel,因特尔公司,美
LG electronics,LG电子,韩
China mobile communications,中国移动通信集团公司,中
China united network communications,中国联合网络通信股份有限公司,中
China telecommmunications,中国电信集团公司,中
COFCO,中粮集团有限公司,中
Amazon,亚马逊,美
Alibaba,阿里巴巴集团,中
JD,京东集团,中
Suning,苏宁易购集团,中
Tencent,腾讯控股有限公司,中
Facebook,脸书,美
Toyota motor,丰田汽车公司,日
Volkswagen,大众公司,德
Daimler,戴姆勒股份公司,德
Ford motor,福特汽车公司,美
Honda motor,本田汽车,日
BMW,宝马集团,德
Renault,雷诺,法
Peugeot,标致,法
Dongfeng motor,东风汽车公司,中
Country garden holdings,碧桂园控股有限公司,中
China evergrande group,中国恒大集团,中
China vanke,万科企业股份有限公司,中
China poly group,中国保利集团,中
Greenland holding group,绿地控股集团有限公司,中
Industrial & Commer. Bank of China,中国工商银行,中
Bank of China,中国银行,中
China construction bank,中国建设银行,中
Agricultural bank of China,中国农业银行,中
Bank of communications,交通银行,中
China merchants bank,招商银行,中
Goldman Sachs,高盛集团,美
Ping An insurance,中国平安保险（集团）股份有限公司,中
China life insurance,中国人寿保险（集团）公司,中
Pfizer,辉瑞制药有限公司,美
Johnson & Johnson,强生,美
Bayer,拜耳集团,德
