Belle,"百丽女鞋，单词是""美女""的意思，很不错的鞋名"
Badger,贝吉獾，来自美国的一个保养品牌，badger本来就是獾的意思，翻译很到位，也很可爱
Biotherm,"碧欧泉，化妆品牌，应该是""生物热量""的意思"
Burberry,"巴宝莉，香水卖得挺好，它的单词是""雨衣""，看来它家的风衣应该是防水的才对得起这个名字"
Converse,"匡威，运动品牌，单词是""颠倒""的意思，大概想说匡威的出现颠覆了运动的某个理念之类的"
Crest,"佳洁士牙膏，单词是""浪尖，尖峰""之意，难道是想把这个牙膏牌子做到顶级？"
Colgate,高露洁牙膏，col是关隘的意思，gate是门，大概是把牙齿缝比做了关隘，高露洁这个门可以保护牙齿的意思吧
Canon,"佳能，canon这个单词就是""真作""的意思，佳能是经典真作哦"
Carrefour,"家乐福超市，是个法语词，本身的意思是""交叉路""，也有集市的意思，难怪是个超市了"
Clinique,"倩碧，雅斯兰黛旗下的化妆品牌，来自发文，意思是""医学诊所"""
Esprit,"埃斯普利特，服饰品牌，是个法语词，""才气""的意思，个人也觉得Esprit家的衣服有才气"
Eland,"衣恋，韩国的服饰品牌，不过它竟然是""大羚羊""的意思"
Ford,"福特汽车，单词是""涉水""的意思，看来是制造者觉得福特汽车可以跋山涉水那么厉害吧"
Microsoft,"微软，就是""微小的软件""，越尖端的软件造出来形状一定越微小，就好像CPU越做越小一样，看来微软的野心倒是不小。"
Nike,"耐克，运动品牌，""胜利女神""之意，确实它做到了最初的期望"
Puma,彪马，运动品牌，从它的商标就知道了，一只大美洲狮
Peak,"匹克，运动品牌，单词是""山峰""的意思"
Reebok,"锐步，运动品牌，单词意思是""南非的短角羚羊""，应该跑得快吧"
Rejoice,"飘柔洗发水，单词是""使人欢喜""的意思，制造商希望人们用了飘柔头发很顺很快乐哦"
Safeguard,"舒肤佳香皂，单词是""保护、安全保卫""，难怪舒肤佳要说保护家人健康"
Siemens,西门子家电，其实siemens就是个电学单位，中文译名就叫西门子，欧姆的倒数
STACCATO,"思加图，百丽旗下的一个女鞋品牌，单词是""断音、断唱""，有点莫名。"
Opera,娥佩兰，一个化妆品牌，opera是歌剧的意思
ONLY,"服饰品牌，only有""唯一""的意思，大概想表示自己设计独到吧"
Oracle,"美国的一个数据库生产公司，也是网络计算机的倡导者之一，oracle是""神的口谕""，一个典型的GRE单词"
Whisper,"护舒宝，这个女孩子都知道啦，单词意思是""低声私语""，咱女孩子自己的事情，确实是得低声细语的"
Tissot,"天梭表，单词意思是""船舷的护索"""
Benz,奔驰车，这个单词要是小写，就是化学里面的苯了
Lenovo,"联想，联想集团改过名，原来叫Legend，""传说""的意思，后来自创了lenovo这个词，le是继承了原来的品牌名字，nov是""新""的意思"
Nestle,"雀巢奶制品，单词有""舒适地偎依、筑巢""的意思，看来应该是可以信任的奶制品"
hyundai,现代
KIA,起亚
BMW,宝马
Rolls_Royce,劳斯莱斯
porsche,保时捷
honda,本田
Acura,阿库拉
Citroen,雪铁龙
peugeot,标致
mitsu,三菱
jeep,吉普
dodge,道奇
maybach,迈巴赫
daimlerchrysler,克莱斯勒
Bentley,宾利
Lamborghini,兰伯基尼
Audi,奥迪
Volkswagen,大众
Skoda,斯柯达
Seat,西雅特
